order_item_id,order_id,product_id,quantity,unit_price,discount,created_at,updated_at
1,1,82,3,207.34,4.87,2025-09-27 19:40:36,2025-10-08 19:40:36
2,1,186,1,255.61,6.31,2025-08-15 19:40:36,2025-10-29 19:40:36
3,2,157,1,416.36,17.54,2025-10-21 19:40:36,2025-11-02 19:40:36
4,2,102,3,319.32,34.73,2025-09-20 19:40:36,2025-10-08 19:40:36
5,2,86,3,272.82,10.24,2025-09-03 19:40:36,2025-10-24 19:40:36
6,2,149,2,134.16,14.51,2025-09-02 19:40:36,2025-10-19 19:40:36
7,2,70,2,118.31,42.4,2025-10-09 19:40:36,2025-10-30 19:40:36
8,3,49,3,222.49,7.0,2025-08-23 19:40:36,2025-10-07 19:40:36
9,3,53,1,57.05,35.63,2025-10-13 19:40:36,2025-10-12 19:40:36
10,4,36,3,423.11,33.52,2025-10-17 19:40:36,2025-10-19 19:40:36
11,4,188,2,473.31,25.73,2025-08-28 19:40:36,2025-10-19 19:40:36
12,4,69,3,225.91,15.16,2025-08-19 19:40:36,2025-10-29 19:40:36
13,5,22,3,321.89,44.16,2025-08-23 19:40:36,2025-10-16 19:40:36
14,5,9,1,423.92,46.2,2025-10-02 19:40:36,2025-10-20 19:40:36
15,5,136,3,497.02,34.68,2025-10-05 19:40:36,2025-10-08 19:40:36
16,5,67,1,375.77,11.94,2025-08-26 19:40:36,2025-10-19 19:40:36
17,5,176,3,384.57,41.02,2025-10-10 19:40:36,2025-10-14 19:40:36
18,6,64,1,306.96,20.28,2025-09-02 19:40:36,2025-10-20 19:40:36
19,6,124,2,174.75,47.87,2025-09-11 19:40:36,2025-10-16 19:40:36
20,6,84,1,184.02,25.37,2025-10-22 19:40:36,2025-10-30 19:40:36
21,6,140,2,29.67,37.81,2025-08-31 19:40:36,2025-10-26 19:40:36
22,7,49,2,96.98,48.9,2025-09-27 19:40:36,2025-10-18 19:40:36
23,8,66,1,54.48,20.95,2025-09-08 19:40:36,2025-10-17 19:40:36
24,9,6,2,326.27,14.96,2025-11-03 19:40:36,2025-10-27 19:40:36
25,9,116,2,270.67,11.28,2025-09-20 19:40:36,2025-11-02 19:40:36
26,10,43,2,242.45,4.11,2025-08-28 19:40:36,2025-10-07 19:40:36
27,10,48,1,353.99,17.57,2025-10-14 19:40:36,2025-10-17 19:40:36
28,10,93,2,275.59,4.74,2025-09-09 19:40:36,2025-10-28 19:40:36
29,10,100,1,417.68,43.5,2025-10-15 19:40:36,2025-10-25 19:40:36
30,10,15,2,130.31,22.4,2025-10-21 19:40:36,2025-10-29 19:40:36
31,11,28,1,291.15,29.42,2025-10-21 19:40:36,2025-10-24 19:40:36
32,11,52,2,86.12,29.08,2025-08-14 19:40:36,2025-10-13 19:40:36
33,11,27,2,195.95,34.75,2025-10-10 19:40:36,2025-10-20 19:40:36
34,11,22,3,405.25,14.01,2025-10-28 19:40:36,2025-10-11 19:40:36
35,11,190,3,53.89,34.83,2025-09-29 19:40:36,2025-11-05 19:40:36
36,12,40,1,316.88,16.58,2025-08-20 19:40:36,2025-10-23 19:40:36
37,12,67,3,252.43,42.88,2025-08-13 19:40:36,2025-10-17 19:40:36
38,12,188,3,305.43,41.86,2025-09-28 19:40:36,2025-10-16 19:40:36
39,12,55,1,457.16,31.4,2025-08-08 19:40:36,2025-11-04 19:40:36
40,12,177,2,315.6,40.53,2025-10-12 19:40:36,2025-10-18 19:40:36
41,13,81,2,406.39,21.13,2025-09-17 19:40:36,2025-11-04 19:40:36
42,14,84,1,312.15,47.24,2025-08-12 19:40:36,2025-11-05 19:40:36
43,15,85,3,378.79,43.96,2025-08-26 19:40:36,2025-10-10 19:40:36
44,15,142,3,340.61,21.5,2025-09-13 19:40:36,2025-10-25 19:40:36
45,16,114,1,412.94,24.24,2025-08-13 19:40:36,2025-10-20 19:40:36
46,16,87,2,6.63,24.06,2025-11-01 19:40:36,2025-11-02 19:40:36
47,17,138,3,486.13,49.43,2025-10-20 19:40:36,2025-10-11 19:40:36
48,17,133,1,165.3,46.24,2025-10-22 19:40:36,2025-10-07 19:40:36
49,17,175,2,27.13,9.79,2025-08-26 19:40:36,2025-10-19 19:40:36
50,17,106,3,495.43,40.78,2025-09-05 19:40:36,2025-10-12 19:40:36
