payment_id,order_id,provider,amount,status,transaction_id,created_at,updated_at
1,1,Stripe,913.76,refunded,2901fd77-1657-4648-a73f-4b3f24f69620,2025-08-25 19:40:36,2025-10-23 19:40:36
2,2,PayPal,545.61,refunded,d826df63-93b5-4218-b449-0b17ba6e3d6d,2025-08-15 19:40:36,2025-10-31 19:40:36
3,3,Stripe,45.19,refunded,b33aa586-3ec1-4bc4-a88c-2c682e8a6ef5,2025-08-24 19:40:36,2025-10-20 19:40:36
4,4,PayPal,1079.39,success,b3bab756-90a0-4af7-b8c2-d5cdf000307d,2025-08-25 19:40:36,2025-10-14 19:40:36
5,5,Stripe,99.39,failed,b9b0093f-1904-498d-9618-5b8e7c08f11a,2025-09-11 19:40:36,2025-11-06 19:40:36
6,6,PayPal,949.33,success,3e70169d-b94f-41b8-9712-d5c853163eea,2025-10-30 19:40:36,2025-10-25 19:40:36
7,7,Stripe,1269.9,failed,155931f9-dd01-464a-9ff8-06c4aa4efea4,2025-10-11 19:40:36,2025-10-18 19:40:36
8,8,Adyen,183.57,success,ae0614a3-0f21-4275-b905-66e251b614ce,2025-09-21 19:40:36,2025-10-16 19:40:36
9,9,Adyen,1266.61,success,e81e7212-1c63-477d-9043-06009d91a638,2025-08-16 19:40:36,2025-10-20 19:40:36
10,10,Adyen,1319.71,pending,bf643a1d-de3f-411e-8c3c-2d022b6f8633,2025-11-06 19:40:36,2025-10-24 19:40:36
11,11,Stripe,1223.89,success,ba62993f-5319-4b64-9440-eb6e42aaf357,2025-08-16 19:40:36,2025-10-12 19:40:36
12,12,PayPal,1415.08,failed,6d52ef81-1243-4d7a-8af5-a0494fd2b655,2025-09-26 19:40:36,2025-10-12 19:40:36
13,13,PayPal,656.67,failed,c5514313-5fc2-40d5-8900-89c8ec76a731,2025-09-29 19:40:36,2025-10-24 19:40:36
14,14,Stripe,675.1,failed,93b790ea-24e3-4348-8977-2663f29c7aad,2025-10-06 19:40:36,2025-10-14 19:40:36
15,15,PayPal,205.19,refunded,24702ada-de2c-4f11-b6dc-0ffb64de5c2e,2025-09-09 19:40:36,2025-10-30 19:40:36
16,16,Stripe,978.18,failed,1607ff01-3c6d-4917-9a28-6cef13662850,2025-10-12 19:40:36,2025-10-28 19:40:36
17,17,Stripe,407.16,failed,052329b3-c170-42ee-a47c-d8051e287d33,2025-09-02 19:40:36,2025-11-06 19:40:36
18,18,Adyen,267.71,success,7fb2cb16-b461-411b-8f3c-620ed7d9c28d,2025-09-20 19:40:36,2025-10-29 19:40:36
19,19,PayPal,483.21,failed,dcc6eef3-7e71-44f5-b6e3-3ecf22df4942,2025-08-11 19:40:36,2025-10-09 19:40:36
20,20,Adyen,1189.09,success,dbb94da0-7f7f-4f16-aef5-802a35ca0dae,2025-11-01 19:40:36,2025-10-07 19:40:36
21,21,Adyen,294.64,refunded,9749170d-19de-48f8-b21c-f83330fcee80,2025-11-06 19:40:36,2025-11-04 19:40:36
22,22,PayPal,1150.38,failed,12747485-4cea-42b9-b3f5-94ab9e52d964,2025-11-03 19:40:36,2025-10-25 19:40:36
23,23,PayPal,442.86,refunded,4805a577-900b-4a97-becb-a63a214599ba,2025-09-18 19:40:36,2025-10-23 19:40:36
24,24,PayPal,545.64,success,a7a887aa-1bfe-421a-8ac4-0b586b29bac3,2025-09-06 19:40:36,2025-10-24 19:40:36
25,25,PayPal,152.85,failed,9414ca0b-cb09-46b5-aa88-1587c9e12f8f,2025-08-30 19:40:36,2025-10-12 19:40:36
26,26,PayPal,478.9,pending,1be770be-a0c5-4b04-a976-de3e6b79b181,2025-08-30 19:40:36,2025-11-03 19:40:36
27,27,Stripe,1200.88,success,107b7463-025b-445c-ad70-0efcfd35bbea,2025-10-04 19:40:36,2025-10-12 19:40:36
28,28,Adyen,929.42,success,0775da74-0d07-4afd-8c82-ae43383118ce,2025-11-04 19:40:36,2025-10-09 19:40:36
29,29,PayPal,1107.44,failed,281aa5bb-84db-4975-806b-9b3bcbf364cc,2025-11-06 19:40:36,2025-10-25 19:40:36
30,30,Stripe,1248.79,pending,b55f285f-dccf-48d8-96a4-be4c8cbc439d,2025-08-31 19:40:36,2025-11-03 19:40:36
31,31,Stripe,490.03,pending,bcdd4431-fb6f-4c78-9e99-0357fba6d6da,2025-10-05 19:40:36,2025-10-13 19:40:36
32,32,Adyen,358.24,pending,89da0eec-dfa2-4992-a887-efb7520dd18b,2025-10-14 19:40:36,2025-10-19 19:40:36
33,33,PayPal,968.89,success,e219aac0-d2ac-41d5-9b08-4fa9c3e730ba,2025-10-08 19:40:36,2025-10-23 19:40:36
34,34,Stripe,556.67,failed,63ba21db-5899-49ef-ba73-449cfe3e9f3b,2025-08-08 19:40:36,2025-10-29 19:40:36
35,35,PayPal,111.97,pending,f74b81d2-398d-4570-9040-c6f406f0f6a1,2025-08-08 19:40:36,2025-10-16 19:40:36
