reseller_id,name,country,contact_email
1,"Rodriguez, Figueroa and Sanchez",UK,jillrhodes@miller.com
2,Wagner Inc,United States,jennifermiles@robinson-lawrence.com
3,Wolfe LLC,France,eric51@james.com
4,"Baker, Williams and Stevens",Germany,dudleynicholas@carter.com
5,"Lee, Jones and Stanley",Germany,tracie31@ramirez-reid.com
6,Wood and Sons,Canada,jacqueline19@jackson.biz
7,Mayo-Bowman,UK,gabriellecameron@perez.com
8,Adams-Clark,Australia,jason76@ellis.net
9,"Baker, Richards and Hurst",UK,icox@snyder.com
10,"Moore, Becker and Carlson",Netherlands,djames@king.com
